,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,0.0,Tue Jun 12 19:01:04 +0000 2018,0.0,1.0,0.0,1,@BBC
1,0.8402,Tue Jun 12 18:07:04 +0000 2018,0.0,0.667,0.333,2,@BBC
2,0.0,Tue Jun 12 17:01:05 +0000 2018,0.0,1.0,0.0,3,@BBC
3,0.3802,Tue Jun 12 16:00:03 +0000 2018,0.1,0.667,0.233,4,@BBC
4,0.6369,Tue Jun 12 15:36:53 +0000 2018,0.0,0.794,0.206,5,@BBC
5,-0.2263,Tue Jun 12 15:14:54 +0000 2018,0.16,0.84,0.0,6,@BBC
6,0.4215,Tue Jun 12 15:01:55 +0000 2018,0.184,0.556,0.261,7,@BBC
7,0.5719,Tue Jun 12 14:38:12 +0000 2018,0.0,0.871,0.129,8,@BBC
8,-0.7096,Tue Jun 12 13:02:04 +0000 2018,0.275,0.619,0.107,9,@BBC
9,0.2003,Tue Jun 12 12:15:37 +0000 2018,0.095,0.776,0.129,10,@BBC
10,0.5719,Tue Jun 12 12:00:21 +0000 2018,0.0,0.764,0.236,11,@BBC
11,-0.2869,Tue Jun 12 11:04:42 +0000 2018,0.158,0.734,0.108,12,@BBC
12,-0.296,Tue Jun 12 11:03:02 +0000 2018,0.091,0.909,0.0,13,@BBC
13,0.0,Tue Jun 12 10:21:42 +0000 2018,0.0,1.0,0.0,14,@BBC
14,0.3802,Tue Jun 12 10:10:18 +0000 2018,0.0,0.912,0.088,15,@BBC
15,0.2732,Tue Jun 12 09:34:55 +0000 2018,0.0,0.877,0.123,16,@BBC
16,0.5994,Tue Jun 12 08:25:43 +0000 2018,0.0,0.855,0.145,17,@BBC
17,0.0,Tue Jun 12 08:00:18 +0000 2018,0.0,1.0,0.0,18,@BBC
18,0.4019,Tue Jun 12 07:28:06 +0000 2018,0.0,0.863,0.137,19,@BBC
19,0.0,Tue Jun 12 07:00:10 +0000 2018,0.139,0.722,0.139,20,@BBC
20,0.0,Tue Jun 12 19:01:04 +0000 2018,0.0,1.0,0.0,21,@BBC
21,0.8402,Tue Jun 12 18:07:04 +0000 2018,0.0,0.667,0.333,22,@BBC
22,0.0,Tue Jun 12 17:01:05 +0000 2018,0.0,1.0,0.0,23,@BBC
